experiment,feature_set,features,q_low,q_high,config_name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,rows_2565,accuracy_2566,f1_2566,rows_2566,status,error
146,BASE_PRESSURE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sea_level_pressure",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5787878787878787,0.4909090909090909,0.08787878787878786,0.48761095670992116,0.4909090909090909,0.3727395411605938,55,0.6666666666666666,0.6024823722592485,60,OK,
147,BASE_PRESSURE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sea_level_pressure",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5522727272727272,0.45454545454545453,0.09772727272727275,0.4591092204949363,0.45454545454545453,0.3264957264957265,55,0.65,0.591722714494146,60,OK,
148,BASE_PRESSURE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sea_level_pressure",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5606060606060606,0.45454545454545453,0.10606060606060605,0.45933819657538527,0.45454545454545453,0.309403210193377,55,0.6666666666666666,0.6092731829573935,60,OK,
149,BASE_PRESSURE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sea_level_pressure",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.553030303030303,0.4727272727272727,0.08030303030303029,0.45758537634759966,0.4727272727272727,0.3359425096738529,55,0.6333333333333333,0.5792282430213465,60,OK,
150,BASE_PRESSURE,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,sea_level_pressure",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.5431818181818182,0.43636363636363634,0.10681818181818184,0.43058782165227627,0.43636363636363634,0.2701875239188672,55,0.65,0.5909881193856853,60,OK,
151,BASE_AIR_TEMP,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,air_temperature",0.3,0.65,RF_FULL,300,,2,1,sqrt,balanced,0.5515151515151515,0.43636363636363634,0.11515151515151514,0.4778519120624384,0.43636363636363634,0.32943469785575047,55,0.6666666666666666,0.6262691262691263,60,OK,
152,BASE_AIR_TEMP,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,air_temperature",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5863636363636363,0.4727272727272727,0.11363636363636362,0.5000799966317208,0.4727272727272727,0.34757834757834755,55,0.7,0.6525816456850939,60,OK,
153,BASE_AIR_TEMP,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,air_temperature",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5954545454545455,0.4909090909090909,0.10454545454545452,0.49970212281288484,0.4909090909090909,0.35626312880044225,55,0.7,0.6431411168253274,60,OK,
154,BASE_AIR_TEMP,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,air_temperature",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5696969696969697,0.4727272727272727,0.09696969696969696,0.4837634337634338,0.4727272727272727,0.34757834757834755,55,0.6666666666666666,0.61994851994852,60,OK,
155,BASE_AIR_TEMP,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,air_temperature",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5871212121212122,0.4909090909090909,0.09621212121212122,0.47919230306911464,0.4909090909090909,0.3268840579710145,55,0.6833333333333333,0.6315005481672148,60,OK,
156,BASE_AIR_TEMP,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,air_temperature",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.5772727272727273,0.45454545454545453,0.12272727272727271,0.48408245349421825,0.45454545454545453,0.3353846153846154,55,0.7,0.6327802916038211,60,OK,
157,BASE_WIND_DIR,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,wind_dir_sin,wind_dir_cos",0.3,0.65,RF_FULL,300,,2,1,sqrt,balanced,0.5606060606060606,0.45454545454545453,0.10606060606060605,0.4633283726103599,0.45454545454545453,0.3279117933723197,55,0.6666666666666666,0.5987449518484002,60,OK,
158,BASE_WIND_DIR,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,wind_dir_sin,wind_dir_cos",0.3,0.65,RF_DEPTH_6_BAL,350,6.0,2,2,sqrt,balanced,0.5871212121212122,0.4909090909090909,0.09621212121212122,0.46179597958261964,0.4909090909090909,0.31221719457013575,55,0.6833333333333333,0.6113747645951035,60,OK,
159,BASE_WIND_DIR,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,wind_dir_sin,wind_dir_cos",0.3,0.65,RF_DEPTH_8_BAL,400,8.0,4,2,sqrt,balanced,0.5613636363636364,0.4727272727272727,0.08863636363636365,0.45886957361533637,0.4727272727272727,0.33618233618233617,55,0.65,0.5815568110483366,60,OK,
160,BASE_WIND_DIR,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,wind_dir_sin,wind_dir_cos",0.3,0.65,RF_DEPTH_10_BAL,400,10.0,4,2,sqrt,balanced,0.5772727272727273,0.45454545454545453,0.12272727272727271,0.4754700854700855,0.45454545454545453,0.32871794871794874,55,0.7,0.6222222222222222,60,OK,
161,BASE_WIND_DIR,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,wind_dir_sin,wind_dir_cos",0.3,0.65,RF_LEAF_3_BAL,400,,6,3,sqrt,balanced,0.5946969696969697,0.4727272727272727,0.12196969696969698,0.4768617231303799,0.4727272727272727,0.3029297954671089,55,0.7166666666666667,0.6507936507936508,60,OK,
162,BASE_WIND_DIR,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_id,wind_dir_sin,wind_dir_cos",0.3,0.65,RF_FEATURE_07_BAL,400,10.0,4,2,0.7,balanced_subsample,0.568939393939394,0.45454545454545453,0.11439393939393941,0.468935245545415,0.45454545454545453,0.3264957264957265,55,0.6833333333333333,0.6113747645951035,60,OK,
