experiment,feature_set,features,q_low,q_high,config_name,decision_name,mean_accuracy,min_accuracy,std_accuracy,mean_macro_f1,accuracy_2565,f1_2565,accuracy_2566,f1_2566,status,error
125,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_BALANCED,P_LOW_105_MED_105,0.5522727272727272,0.45454545454545453,0.09772727272727275,0.4930114638447972,0.45454545454545453,0.3610229276895944,0.65,0.625,OK,
126,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_NORMAL,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.4657439864888931,0.43636363636363634,0.3464922174599594,0.6166666666666667,0.5849957555178268,OK,
127,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_105,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.4657439864888931,0.43636363636363634,0.3464922174599594,0.6166666666666667,0.5849957555178268,OK,
128,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_110,0.5174242424242425,0.41818181818181815,0.09924242424242427,0.46228710492518976,0.41818181818181815,0.3395784543325527,0.6166666666666667,0.5849957555178268,OK,
129,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_MED_105,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.4683849976188686,0.43636363636363634,0.3464922174599594,0.6166666666666667,0.5902777777777778,OK,
130,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_12,P_LOW_105_MED_105,0.5265151515151515,0.43636363636363634,0.09015151515151518,0.4683849976188686,0.43636363636363634,0.3464922174599594,0.6166666666666667,0.5902777777777778,OK,
131,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_NORMAL,0.5522727272727272,0.45454545454545453,0.09772727272727275,0.4904601073955912,0.45454545454545453,0.3581603581603581,0.65,0.6227598566308243,OK,
132,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_105,0.5522727272727272,0.45454545454545453,0.09772727272727275,0.4904601073955912,0.45454545454545453,0.3581603581603581,0.65,0.6227598566308243,OK,
133,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_110,0.543939393939394,0.45454545454545453,0.08939393939393939,0.49039242237285596,0.45454545454545453,0.3743169398907104,0.6333333333333333,0.6064679048550016,OK,
134,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_MED_105,0.543939393939394,0.45454545454545453,0.08939393939393939,0.4834042547515033,0.45454545454545453,0.3581603581603581,0.6333333333333333,0.6086481513426485,OK,
135,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,FULL_LOW_12_MED_14,P_LOW_105_MED_105,0.543939393939394,0.45454545454545453,0.08939393939393939,0.4834042547515033,0.45454545454545453,0.3581603581603581,0.6333333333333333,0.6086481513426485,OK,
136,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_NORMAL,0.5333333333333333,0.4,0.1333333333333333,0.4770350564468211,0.4,0.3209235209235209,0.6666666666666666,0.6331465919701214,OK,
137,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_105,0.5333333333333333,0.4,0.1333333333333333,0.4831259018759019,0.4,0.3209235209235209,0.6666666666666666,0.6453282828282828,OK,
138,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_LOW_110,0.5325757575757576,0.38181818181818183,0.15075757575757576,0.48926243658820123,0.38181818181818183,0.3109496906107076,0.6833333333333333,0.6675751825656949,OK,
139,STATION_ONEHOT,"sst,chlorophyll_a,rainfall,wind_speed,month,year,station_cat",0.33,0.66,LEAF2_LOW_13_MED_13,P_MED_105,0.5340909090909091,0.41818181818181815,0.11590909090909093,0.4796395453067117,0.41818181818181815,0.3499194847020934,0.65,0.60935960591133,OK,
